"Data","Nuovi contagi del giorno","Nuovi decessi","Decessi BS","Decessi Valle","Decessi totale","Nuovi guariti per giorno","Guariti BS","Guariti Valle","Guariti totale","Attualmente_positivi"
2020-02-26,2,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-27,8,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-28,3,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-29,1,1,NA,NA,1,NA,NA,NA,NA,NA
2020-03-01,35,2,NA,NA,3,NA,NA,NA,NA,NA
2020-03-02,11,0,NA,NA,3,NA,NA,NA,NA,NA
2020-03-03,26,2,NA,NA,5,NA,NA,NA,NA,NA
2020-03-04,41,4,NA,NA,9,NA,NA,NA,NA,NA
2020-03-05,28,8,NA,NA,17,NA,NA,NA,NA,NA
2020-03-06,27,3,NA,NA,20,NA,NA,NA,NA,NA
2020-03-07,231,17,NA,NA,37,NA,NA,NA,NA,NA
2020-03-08,88,8,NA,NA,45,NA,NA,NA,NA,NA
2020-03-09,238,12,NA,NA,57,NA,NA,NA,NA,NA
2020-03-10,51,34,NA,NA,91,NA,NA,NA,NA,NA
2020-03-11,561,38,NA,NA,129,NA,NA,NA,NA,NA
2020-03-12,247,36,NA,NA,165,NA,NA,NA,NA,NA
2020-03-13,186,33,NA,NA,198,NA,NA,NA,NA,NA
2020-03-14,338,32,NA,NA,230,NA,NA,NA,NA,NA
2020-03-15,351,45,NA,NA,275,NA,NA,NA,NA,NA
2020-03-16,445,41,NA,NA,316,NA,NA,NA,NA,NA
2020-03-17,382,71,NA,NA,387,NA,NA,NA,NA,NA
2020-03-18,484,78,NA,NA,465,NA,NA,NA,NA,NA
2020-03-19,463,49,NA,NA,514,NA,NA,NA,NA,NA
2020-03-20,401,80,NA,NA,594,NA,NA,NA,NA,NA
2020-03-21,380,77,NA,NA,671,NA,NA,NA,NA,NA
2020-03-22,289,66,NA,NA,737,NA,NA,NA,NA,NA
2020-03-23,588,75,NA,NA,812,NA,NA,NA,NA,NA
2020-03-24,393,75,NA,NA,887,NA,NA,NA,NA,NA
2020-03-25,299,75,NA,NA,962,NA,NA,NA,NA,NA
2020-03-26,334,82,NA,NA,1044,NA,NA,NA,NA,NA
2020-03-27,374,70,NA,NA,1114,NA,NA,NA,NA,NA
2020-03-28,373,59,NA,NA,1173,NA,NA,NA,NA,NA
2020-03-29,335,57,NA,NA,1230,NA,NA,NA,NA,NA
2020-03-30,200,49,NA,NA,1279,NA,NA,NA,NA,NA
2020-03-31,154,70,NA,NA,1349,NA,NA,NA,NA,NA
2020-04-01,231,57,NA,NA,1406,NA,NA,NA,NA,NA
2020-04-02,159,70,NA,NA,1476,NA,NA,NA,NA,NA
